,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
262,Samford,32,21,11,.656,0.67,-4.18,,15,3,,13,3,,8,7,,2519,2290,,69.9,100.8,.367,.439,.547,48.4,57.1,9.1,7.1,.512,18.3,26.6,.260
263,San Diego,31,11,20,.355,-1.58,3.77,,4,12,,8,9,,3,8,,2391,2495,,70.4,113.4,.323,.416,.595,51.2,60.2,7.6,7.8,.578,16.0,29.3,.216
264,San Diego State,32,26,6,.813,15.98,8.45,,15,3,,15,1,,8,2,,2316,2042,,66.6,95.1,.288,.401,.514,46.7,47.4,9.5,7.9,.477,17.7,25.5,.214
265,San Francisco,34,20,14,.588,6.55,4.19,,7,9,,11,5,,5,6,,2591,2496,,70.4,103.4,.374,.348,.546,48.7,45.0,9.4,8.4,.499,15.9,26.9,.287
266,San Jose State,33,20,13,.606,5.96,5.74,,10,8,,12,3,,5,8,,2228,2199,,63.3,104.1,.287,.357,.522,44.5,51.4,8.0,8.0,.482,11.6,24.1,.222
267,Santa Clara,32,23,9,.719,9.20,5.52,,11,5,,14,4,,6,3,,2482,2355,,71.4,101.9,.250,.387,.531,46.7,50.8,8.9,6.9,.503,14.6,24.0,.182
268,Seattle,32,20,12,.625,1.17,0.94,,11,7,,12,2,,7,7,,2303,2209,,70.8,97.1,.325,.348,.518,48.7,52.1,8.7,10.2,.484,16.5,25.6,.227
269,Seton Hall,32,17,15,.531,11.00,8.39,,10,10,,10,6,,6,6,,2192,2084,,67.9,95.9,.310,.369,.510,49.1,54.3,10.7,12.2,.474,18.5,30.0,.223
270,Siena,32,17,15,.531,-3.36,-4.74,,11,9,,8,5,,7,8,,2195,2151,,66.6,99.8,.330,.280,.527,48.1,43.0,11.3,8.7,.496,16.3,26.8,.226
271,South Alabama,35,19,16,.543,3.81,-0.25,,9,9,,10,4,,4,10,,2483,2282,,66.7,97.4,.278,.286,.496,52.3,41.0,7.9,8.1,.462,14.3,27.7,.199
272,South Carolina,32,11,21,.344,-1.88,6.41,,4,14,,7,8,,4,8,,2059,2324,,65.1,109.8,.294,.363,.549,50.7,54.4,11.1,10.3,.526,13.7,32.5,.198
273,South Carolina State,31,5,26,.161,-16.56,-3.96,,2,12,,4,6,,1,19,,2274,2599,,73.7,112.9,.435,.365,.603,51.2,58.5,10.1,10.1,.571,18.4,33.9,.314
274,South Carolina Upstate,31,16,15,.516,-7.64,-4.05,,10,8,,11,2,,4,12,,2136,2158,,68.4,101.4,.430,.362,.535,52.7,47.4,9.3,7.1,.493,18.1,31.8,.302
275,South Dakota,31,12,19,.387,-9.41,-2.86,,7,11,,8,6,,2,11,,2149,2282,,67.0,110.0,.304,.399,.554,50.5,46.9,9.4,11.0,.523,12.9,26.8,.222
276,South Dakota State,32,19,13,.594,-1.34,-1.60,,13,5,,10,2,,6,9,,2270,2233,,67.9,101.9,.229,.409,.536,51.2,49.4,9.2,9.1,.507,15.5,25.3,.174
277,South Florida,32,14,18,.438,2.15,2.15,,7,11,,9,9,,4,7,,2303,2303,,69.6,103.0,.371,.386,.538,47.6,54.9,9.8,8.1,.498,16.3,27.8,.271
278,Southeast Missouri State,35,19,16,.543,-7.19,-6.70,,10,8,,9,4,,5,11,,2718,2659,,73.8,101.1,.426,.358,.545,50.6,50.8,9.3,7.6,.509,17.4,26.9,.293
279,Southeastern Louisiana,32,18,14,.563,-7.64,-6.36,,12,6,,10,4,,7,8,,2483,2432,,70.4,105.9,.322,.412,.563,50.6,54.8,8.4,6.9,.539,17.7,29.6,.222
280,Southern,32,15,17,.469,-8.18,-6.11,,11,7,,9,2,,5,12,,2300,2280,,72.9,97.0,.420,.415,.546,52.3,59.7,9.0,10.9,.509,20.9,28.1,.292
281,Southern California,32,22,10,.688,13.76,8.23,,14,6,,15,2,,5,5,,2329,2152,,68.4,97.9,.298,.374,.490,50.4,56.3,9.9,7.8,.452,15.4,33.0,.214
282,Southern Illinois,33,23,10,.697,1.64,-1.64,,14,6,,13,2,,8,6,,2168,2026,,64.8,94.4,.295,.344,.502,50.6,49.1,9.7,10.3,.477,17.5,26.9,.192
283,SIU Edwardsville,33,19,14,.576,-6.29,-7.35,,9,9,,9,5,,7,8,,2463,2353,,70.7,100.8,.334,.361,.525,48.9,47.4,8.4,7.6,.486,16.8,29.6,.244
284,Southern Indiana,32,16,16,.500,-8.26,-7.33,,9,9,,10,4,,5,11,,2448,2370,,70.8,103.4,.388,.403,.544,46.7,49.0,8.8,11.6,.505,15.8,25.5,.279
285,Southern Methodist,32,10,22,.313,0.34,5.66,,5,13,,7,9,,1,11,,2248,2418,,70.6,105.4,.328,.371,.548,51.8,57.3,9.8,11.9,.518,16.3,30.5,.232
286,Southern Mississippi,32,25,7,.781,4.26,-1.74,,14,4,,15,0,,8,6,,2376,2094,,68.6,95.4,.304,.380,.507,47.8,52.7,9.6,6.6,.473,18.3,28.4,.215
287,Southern Utah,34,22,12,.647,3.80,2.20,,12,6,,13,2,,5,8,,2805,2527,,73.6,99.5,.309,.373,.542,47.2,49.1,8.9,8.8,.511,17.6,24.2,.220
288,St. Bonaventure,32,14,18,.438,-1.09,-0.19,,8,10,,11,4,,2,11,,2136,2165,,66.7,100.7,.409,.394,.529,51.3,56.3,8.9,7.7,.486,17.0,29.4,.292
289,St. Francis (NY),30,14,16,.467,-17.02,-11.70,,7,9,,10,5,,4,11,,1946,2034,,67.1,100.6,.308,.271,.529,50.9,53.5,9.5,8.2,.499,17.5,31.6,.214
290,St. John's (NY),33,18,15,.545,8.58,6.43,,7,13,,12,6,,3,9,,2552,2481,,73.8,100.4,.296,.394,.534,47.1,57.5,11.0,6.9,.502,17.3,27.6,.213
291,St. Thomas,33,19,14,.576,-2.69,-4.23,,9,9,,12,2,,4,11,,2447,2316,,67.0,104.7,.304,.358,.548,51.9,46.5,6.3,11.2,.515,15.6,28.1,.225
292,Stanford,33,14,19,.424,10.05,8.08,,7,13,,9,6,,2,8,,2321,2256,,66.1,103.4,.286,.408,.546,47.8,51.5,9.0,8.1,.515,16.2,26.4,.209
293,Stephen F. Austin,32,19,13,.594,0.95,-0.47,,11,7,,12,4,,6,5,,2427,2238,,70.9,96.8,.410,.371,.538,49.2,60.1,8.5,8.1,.501,21.8,31.0,.285
294,Stetson,30,17,13,.567,-2.56,-2.56,,12,6,,9,3,,7,9,,2298,2200,,65.5,109.6,.282,.377,.554,49.1,51.3,7.7,7.0,.524,13.4,28.0,.209
295,Stonehill,31,14,17,.452,-13.25,-8.98,,10,6,,7,4,,6,12,,2076,2157,,67.5,101.8,.271,.403,.525,53.9,54.6,10.2,9.5,.497,16.9,30.9,.190
296,Stony Brook,33,11,22,.333,-12.41,-4.08,,6,12,,7,7,,3,13,,2083,2279,,65.1,105.8,.253,.437,.526,50.9,53.6,11.1,7.4,.501,12.3,26.8,.177
297,Syracuse,32,17,15,.531,5.39,4.18,,10,10,,11,7,,5,6,,2372,2333,,68.3,105.9,.217,.483,.533,51.0,72.7,9.5,6.6,.512,15.8,33.6,.152
298,Tarleton State,33,17,16,.515,-0.42,2.07,,8,9,,12,2,,2,12,,2376,2236,,69.3,97.4,.435,.438,.561,51.3,57.1,7.1,8.7,.519,23.1,28.8,.315
299,TCU,33,21,12,.636,16.26,8.98,,9,9,,13,4,,3,7,,2481,2241,,70.8,95.5,.297,.350,.512,49.2,55.9,9.1,10.1,.478,19.0,30.7,.211
300,Temple,31,16,15,.516,4.96,5.59,,10,8,,9,7,,6,6,,2173,2163,,67.0,102.1,.321,.335,.519,49.5,51.5,10.7,8.5,.486,14.5,28.9,.224
301,Tennessee,32,23,9,.719,21.91,8.15,,11,7,,14,2,,4,6,,2298,1836,,66.2,86.4,.353,.415,.467,45.1,50.1,10.3,8.7,.417,19.5,27.2,.255
302,Tennessee State,32,18,14,.563,-8.83,-8.76,,10,8,,13,4,,4,8,,2499,2401,,72.8,103.0,.400,.366,.547,49.7,48.7,8.7,9.0,.502,16.6,26.8,.298
303,Tennessee Tech,33,16,17,.485,-9.22,-6.18,,11,7,,11,5,,4,11,,2432,2421,,69.3,103.1,.256,.391,.533,51.6,56.8,9.7,9.4,.502,16.1,29.5,.190
304,Tennessee-Martin,33,19,14,.576,-8.49,-7.73,,10,8,,14,2,,4,11,,2658,2489,,73.5,101.4,.327,.404,.519,48.7,54.0,8.5,9.9,.487,15.1,27.6,.224
305,Texas,33,25,8,.758,21.31,10.87,,12,6,,17,1,,4,6,,2571,2236,,70.4,95.1,.352,.356,.520,50.6,48.8,8.0,8.5,.479,19.9,29.6,.255
306,Texas A&M,32,24,8,.750,15.10,7.28,,15,3,,15,1,,7,4,,2340,2094,,67.2,97.4,.354,.457,.512,46.2,59.6,10.8,11.3,.474,18.1,30.0,.249
307,Texas A&M-Commerce,33,13,20,.394,-10.60,-7.26,,10,10,,7,7,,7,12,,2362,2421,,66.8,107.4,.381,.348,.559,51.4,50.1,9.4,7.3,.522,15.7,29.8,.275
308,Texas A&M-Corpus Christi,33,23,10,.697,-2.31,-7.66,,14,4,,14,2,,7,7,,2653,2394,,71.6,100.5,.360,.429,.547,47.4,57.3,8.9,8.2,.517,18.9,27.8,.248
309,Texas Southern,32,12,20,.375,-9.45,-4.48,,7,11,,7,6,,3,13,,2226,2315,,71.1,99.4,.359,.350,.528,48.7,47.2,10.8,7.8,.490,16.6,26.9,.255
310,Texas State,35,16,19,.457,-2.06,-0.43,,6,12,,4,10,,7,7,,2309,2334,,64.9,102.8,.404,.332,.544,48.5,46.6,9.6,8.1,.505,16.6,27.5,.288
311,Texas Tech,32,16,16,.500,13.11,8.77,,5,13,,11,6,,3,7,,2347,2208,,68.9,99.4,.284,.428,.520,48.3,54.5,10.3,10.2,.489,17.3,30.1,.202
312,Texas-Rio Grande Valley,32,15,17,.469,-6.17,-0.25,,5,12,,12,6,,3,10,,2518,2502,,74.3,104.4,.366,.365,.543,47.6,61.4,10.4,9.4,.502,15.2,27.5,.270
313,The Citadel,32,10,22,.313,-11.97,-3.61,,5,13,,5,9,,4,11,,2158,2374,,68.2,108.8,.336,.418,.550,53.9,51.4,10.4,10.1,.516,14.3,30.6,.243
314,Toledo,33,27,6,.818,6.51,-2.35,,16,2,,13,1,,10,3,,2842,2518,,71.2,107.1,.273,.373,.554,49.4,49.6,7.5,8.4,.523,16.0,30.3,.205
315,Towson,33,21,12,.636,0.29,-4.74,,12,6,,10,2,,8,7,,2368,2202,,65.7,100.5,.295,.399,.523,45.6,50.6,8.4,7.4,.486,15.6,26.7,.222
316,Troy,33,20,13,.606,1.64,-0.99,,11,7,,11,3,,7,8,,2414,2204,,69.2,95.9,.336,.357,.524,49.7,46.4,9.5,8.4,.482,19.6,29.2,.252
317,Tulane,30,20,10,.667,5.83,3.05,,12,6,,12,3,,5,4,,2424,2298,,73.8,102.0,.295,.419,.530,54.5,62.2,8.1,12.0,.503,16.8,30.4,.204
318,Tulsa,30,5,25,.167,-8.04,4.10,,1,17,,4,10,,0,12,,1959,2323,,68.7,111.7,.278,.396,.563,54.8,57.4,10.8,11.1,.536,14.7,33.0,.203
319,UAB,33,24,9,.727,9.79,1.11,,14,6,,15,2,,6,5,,2721,2354,,71.3,97.2,.303,.369,.513,45.8,49.0,9.1,8.5,.478,17.4,28.6,.218
320,UC Davis,32,18,14,.563,0.14,-1.29,,11,8,,10,4,,5,9,,2392,2274,,70.9,99.0,.313,.300,.532,47.0,44.5,9.4,8.8,.501,18.1,27.6,.220
321,UC Irvine,34,23,11,.676,5.11,-0.61,,15,5,,11,4,,9,6,,2559,2268,,69.9,95.1,.356,.354,.499,47.4,50.4,8.5,7.6,.453,16.0,25.2,.262
322,UC Riverside,34,22,12,.647,1.18,0.12,,14,6,,9,4,,9,7,,2463,2352,,67.4,101.1,.369,.291,.542,46.3,45.8,8.7,8.2,.504,15.8,22.5,.265
323,UC San Diego,30,10,20,.333,-6.47,-0.29,,5,13,,4,10,,6,9,,2057,2189,,67.0,106.3,.272,.358,.542,52.4,55.8,8.7,9.3,.513,14.6,28.5,.198
324,UC Santa Barbara,34,27,7,.794,3.91,-2.16,,15,5,,12,3,,10,4,,2454,2231,,65.6,99.7,.286,.312,.530,48.5,48.2,7.5,6.1,.495,16.7,25.8,.216
325,UCLA,34,29,5,.853,22.60,8.99,,18,2,,17,0,,9,2,,2513,2050,,67.3,89.6,.276,.393,.498,47.3,51.4,6.9,6.3,.468,20.8,27.6,.193
326,UNC Asheville,34,27,7,.794,-1.48,-5.33,,16,2,,13,0,,10,6,,2551,2332,,69.5,97.3,.261,.347,.503,49.2,45.4,9.8,10.6,.472,15.9,28.1,.187
327,UNC Greensboro,32,20,12,.625,1.72,-2.85,,14,4,,11,3,,8,6,,2306,2064,,67.2,95.2,.304,.411,.501,47.4,47.1,8.6,6.6,.470,17.1,26.3,.207
328,UNC Wilmington,34,24,10,.706,-1.19,-3.07,,12,6,,11,3,,8,6,,2343,2187,,65.4,97.2,.365,.367,.523,49.5,39.8,8.6,7.9,.485,18.4,28.0,.256
329,UT Arlington,32,11,21,.344,-4.76,2.35,,6,12,,6,8,,4,9,,2125,2190,,67.6,100.9,.372,.380,.542,48.5,54.1,8.9,8.4,.506,18.4,29.2,.262
330,Utah,32,17,15,.531,11.89,5.99,,10,10,,13,5,,4,7,,2197,2043,,66.5,95.6,.244,.351,.476,47.2,53.5,9.3,10.5,.450,13.1,27.3,.162
331,Utah State,32,25,7,.781,15.26,7.29,,13,5,,14,2,,6,4,,2542,2246,,69.2,101.0,.296,.338,.523,47.0,47.6,7.9,7.8,.485,14.4,24.6,.222
332,Utah Tech,33,14,19,.424,0.16,1.33,,5,13,,9,5,,3,13,,2495,2420,,70.8,102.8,.347,.373,.561,48.5,53.0,9.9,9.8,.526,18.5,26.3,.254
333,Utah Valley,33,25,8,.758,7.28,0.91,,15,3,,13,1,,10,5,,2539,2244,,71.9,93.6,.290,.331,.472,47.7,45.3,9.0,7.4,.440,14.9,28.9,.194
334,UTEP,32,14,18,.438,-1.02,1.54,,7,13,,11,7,,3,10,,2192,2192,,68.3,97.7,.361,.374,.545,48.3,44.3,11.2,9.0,.509,21.0,28.7,.258
335,UTSA,32,10,22,.313,-8.02,0.88,,4,16,,8,10,,2,11,,2217,2450,,69.5,109.3,.310,.374,.544,51.1,50.8,9.9,13.7,.515,13.6,31.2,.219
336,Valparaiso,32,11,21,.344,-8.26,-2.30,,5,15,,8,7,,2,12,,2206,2355,,68.7,104.7,.311,.374,.545,50.7,52.7,10.0,6.9,.511,14.1,24.6,.228
337,Vanderbilt,33,20,13,.606,9.29,8.88,,11,7,,12,5,,5,6,,2390,2364,,66.9,106.2,.313,.369,.519,50.1,49.6,8.2,7.9,.486,12.8,31.7,.219
338,Vermont,32,22,10,.688,1.77,-3.67,,14,2,,13,1,,9,6,,2338,2139,,65.6,100.7,.262,.368,.541,50.6,45.0,7.5,8.3,.513,15.8,22.1,.191
339,Villanova,32,17,15,.531,10.79,8.67,,10,10,,10,4,,5,8,,2250,2168,,64.9,103.9,.276,.412,.544,50.9,59.8,8.4,10.8,.508,15.2,25.1,.214
340,Virginia,31,25,6,.806,13.69,6.13,,15,5,,15,1,,6,5,,2121,1869,,62.4,96.2,.254,.400,.516,49.9,52.8,7.5,11.1,.483,17.5,25.2,.190
341,Virginia Commonwealth,32,25,7,.781,9.84,1.41,,15,3,,15,3,,8,3,,2271,2005,,68.6,91.3,.303,.339,.504,49.8,50.8,9.8,9.1,.470,21.3,29.6,.212
342,VMI,32,7,25,.219,-16.12,-3.44,,2,16,,6,8,,1,14,,2220,2457,,67.5,112.8,.269,.497,.579,48.9,60.2,9.2,12.7,.558,13.8,26.7,.189
343,Virginia Tech,33,19,14,.576,9.58,5.13,,8,12,,13,4,,2,9,,2449,2302,,66.7,104.1,.249,.358,.531,50.1,47.6,8.4,9.9,.506,14.3,27.4,.176
344,Wagner,28,15,13,.536,-12.24,-11.27,,8,8,,8,4,,7,9,,1766,1727,,63.5,96.3,.465,.362,.534,46.3,53.7,9.3,10.2,.486,18.9,23.8,.332
345,Wake Forest,33,19,14,.576,8.24,5.43,,10,10,,13,3,,4,8,,2528,2435,,70.1,104.5,.267,.386,.543,50.3,46.3,9.9,11.9,.516,15.2,26.6,.192
346,Washington,32,16,16,.500,7.30,8.45,,8,12,,12,6,,2,9,,2213,2250,,69.2,100.1,.254,.370,.501,52.9,60.1,9.9,9.9,.471,15.5,34.6,.180
347,Washington State,33,17,16,.515,11.41,8.50,,11,9,,10,3,,5,8,,2250,2154,,64.6,100.7,.285,.320,.523,47.6,48.0,9.0,8.0,.496,14.6,25.9,.196
348,Weber State,33,18,15,.545,-2.61,-0.99,,12,6,,8,4,,8,8,,2219,2229,,65.7,101.0,.309,.414,.552,50.3,58.3,8.4,9.2,.525,17.5,22.6,.216
349,West Virginia,33,19,14,.576,16.53,11.26,,7,11,,13,4,,3,8,,2518,2344,,69.9,101.3,.384,.350,.547,48.0,50.3,9.5,6.4,.507,18.4,29.3,.279
350,Western Carolina,33,18,15,.545,-6.20,-4.17,,10,8,,9,5,,6,9,,2457,2340,,68.5,101.6,.325,.301,.524,48.6,43.1,8.1,10.4,.489,13.9,24.6,.232
351,Western Illinois,30,16,14,.533,-7.13,-4.28,,9,9,,11,4,,5,9,,2191,2171,,68.8,104.8,.263,.331,.542,50.1,38.7,7.3,7.8,.515,15.0,26.6,.188
352,Western Kentucky,33,17,16,.515,-1.17,0.74,,8,12,,9,5,,5,9,,2355,2330,,68.4,102.4,.245,.424,.520,51.7,51.4,8.8,6.3,.495,15.6,30.8,.171
353,Western Michigan,31,8,23,.258,-10.16,-1.95,,4,14,,7,7,,1,15,,2166,2295,,66.7,111.0,.314,.401,.563,46.6,54.3,9.4,8.4,.535,13.0,26.3,.224
354,Wichita State,32,17,15,.531,6.21,3.68,,9,9,,8,8,,7,4,,2272,2191,,67.8,99.5,.259,.408,.505,48.5,56.9,10.1,9.3,.475,14.7,28.2,.185
355,William & Mary,33,13,20,.394,-10.97,-4.17,,7,11,,11,5,,1,14,,2219,2320,,65.3,107.3,.272,.365,.552,50.4,48.8,9.4,14.4,.528,15.1,28.8,.191
356,Winthrop,32,15,17,.469,-6.58,-3.55,,10,8,,10,4,,4,11,,2360,2382,,67.8,109.4,.293,.381,.553,52.3,50.7,11.0,13.5,.537,15.3,33.4,.187
357,Wisconsin,31,17,14,.548,10.68,9.56,,9,11,,9,6,,5,6,,2013,1978,,63.1,98.8,.280,.358,.528,53.0,43.3,7.1,10.3,.503,16.6,25.4,.192
358,Wofford,33,17,16,.515,-4.83,-3.13,,8,10,,12,4,,4,11,,2466,2392,,66.4,107.5,.256,.420,.559,48.5,45.7,8.5,8.6,.533,14.7,27.0,.188
359,Wright State,33,18,15,.545,-2.10,-5.65,,10,10,,9,6,,7,8,,2637,2432,,72.0,100.1,.269,.387,.523,48.4,41.6,10.8,6.1,.499,15.7,26.7,.182
360,Wyoming,31,9,22,.290,2.64,6.74,,4,14,,7,8,,1,8,,2144,2234,,66.4,108.0,.289,.395,.567,50.7,48.9,9.2,10.5,.531,14.9,25.1,.227
361,Xavier,33,25,8,.758,16.42,9.07,,15,5,,15,2,,7,4,,2717,2453,,72.0,102.8,.271,.339,.536,45.9,54.4,9.9,9.4,.507,14.9,25.5,.195
362,Yale,27,20,7,.741,8.42,-2.43,,10,4,,10,1,,8,6,,2066,1692,,67.5,92.0,.323,.405,.497,45.2,50.5,8.4,7.1,.462,16.9,22.5,.222
363,Youngstown State,33,24,9,.727,1.73,-6.18,,15,5,,14,2,,9,6,,2721,2396,,69.5,102.5,.256,.341,.536,48.0,49.1,7.4,5.9,.512,16.1,28.3,.179
