,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
31,Brown,27,14,13,.519,-2.67,-2.89,,7,7,,7,5,,7,8,,1878,1872,,69.9,99.1,.298,.399,.528,50.3,54.5,10.2,9.0,.507,16.9,25.3,.191
32,Bryant,30,17,13,.567,-3.64,-4.57,,8,8,,9,4,,7,8,,2381,2193,,73.0,108.3,.331,.392,.565,53.6,47.5,9.1,9.4,.532,16.0,30.1,.243
33,Bucknell,32,12,20,.375,-9.58,-7.14,,5,13,,7,7,,3,13,,2161,2192,,66.4,100.9,.265,.377,.549,51.5,53.8,8.2,10.3,.523,17.8,25.8,.190
34,Buffalo,32,15,17,.469,-2.67,0.97,,9,9,,11,4,,3,9,,2481,2485,,74.2,104.1,.316,.348,.539,51.8,51.9,10.7,8.2,.509,16.4,31.9,.223
35,Butler,32,14,18,.438,5.86,8.55,,6,14,,10,6,,3,10,,2088,2174,,67.2,97.1,.260,.358,.526,45.2,52.3,10.0,11.0,.495,16.0,19.9,.192
36,Cal Poly,33,8,25,.242,-7.01,-0.05,,1,18,,6,11,,1,13,,2006,2174,,65.1,92.7,.306,.355,.505,50.3,47.7,8.4,7.6,.465,18.7,25.8,.228
37,Cal State Bakersfield,33,11,22,.333,-7.87,-1.00,,6,14,,6,8,,3,12,,1995,2134,,63.4,93.9,.289,.247,.495,49.7,48.5,9.6,10.6,.454,17.4,28.6,.220
38,Cal State Fullerton,33,20,13,.606,2.23,0.23,,12,6,,11,2,,7,8,,2283,2148,,65.5,102.5,.376,.379,.535,49.0,43.6,9.6,7.7,.500,15.5,26.9,.260
39,Cal State Northridge,32,7,25,.219,-9.91,-1.24,,4,16,,7,8,,0,14,,2028,2194,,65.7,96.1,.353,.331,.501,48.6,45.2,9.5,9.2,.454,16.5,28.0,.262
40,California,32,3,29,.094,-2.87,8.91,,2,18,,3,14,,0,12,,1866,2243,,64.3,90.0,.315,.309,.479,47.0,46.5,7.3,9.1,.437,17.6,25.3,.228
41,California Baptist,33,17,16,.515,0.48,-0.43,,7,10,,12,5,,4,8,,2291,2156,,65.9,104.6,.312,.441,.526,52.3,58.1,6.7,8.2,.500,14.8,30.4,.207
42,Campbell,34,16,18,.471,-5.22,-4.88,,8,10,,8,6,,4,10,,2374,2329,,64.6,106.1,.389,.384,.564,49.6,50.1,9.5,9.0,.531,16.1,25.3,.273
43,Canisius,30,10,20,.333,-6.93,-3.34,,8,12,,7,7,,3,12,,2111,2169,,67.5,102.1,.248,.406,.522,48.4,56.5,8.1,6.6,.492,15.0,28.8,.181
44,Central Arkansas,31,9,22,.290,-13.63,-3.06,,4,14,,6,8,,2,13,,2261,2527,,72.7,99.1,.243,.412,.510,48.2,46.9,8.9,8.2,.478,15.7,28.4,.182
45,Central Connecticut State,32,10,22,.313,-14.05,-9.86,,7,9,,6,7,,4,14,,2111,2245,,65.7,99.3,.233,.357,.507,49.5,52.1,8.4,10.6,.481,15.4,28.5,.165
46,Central Florida,31,18,13,.581,11.24,4.99,,8,10,,11,6,,4,6,,2235,2030,,65.7,106.7,.299,.424,.544,51.0,56.9,11.1,11.4,.506,16.5,33.6,.230
47,Central Michigan,31,10,21,.323,-11.59,-2.25,,5,13,,6,8,,3,12,,2038,2263,,69.0,94.9,.380,.377,.511,49.8,47.4,8.4,11.5,.472,19.9,31.2,.262
48,Charleston Southern,31,10,21,.323,-9.40,-4.43,,5,13,,6,8,,3,12,,2251,2305,,67.1,107.8,.269,.395,.539,51.0,45.5,7.5,7.8,.511,14.9,32.6,.196
49,Charlotte,32,18,14,.563,3.62,-0.35,,9,11,,11,4,,5,8,,2135,2008,,61.5,106.5,.243,.406,.572,50.2,52.4,8.5,7.9,.548,15.6,22.9,.181
50,Chattanooga,35,18,17,.514,-2.18,-3.18,,7,11,,9,7,,6,9,,2702,2523,,68.9,111.7,.313,.518,.576,51.7,58.0,8.3,10.0,.550,14.8,28.0,.223
51,Chicago State,31,11,20,.355,-10.93,-3.15,,,,,8,0,,3,20,,2180,2264,,66.8,104.9,.316,.430,.539,51.2,49.9,8.4,7.5,.505,17.3,34.2,.230
52,Cincinnati,31,20,11,.645,11.99,5.09,,11,7,,15,3,,4,6,,2416,2161,,69.9,110.6,.257,.398,.550,51.8,55.4,8.6,9.3,.527,13.2,30.7,.180
53,Clemson,33,23,10,.697,11.23,4.08,,14,6,,15,1,,5,6,,2476,2240,,68.1,109.4,.307,.401,.580,51.5,54.0,7.5,9.0,.544,14.7,23.5,.243
