,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
86,Fairleigh Dickinson,34,19,15,.559,-11.40,-11.72,,10,6,,10,5,,8,9,,2646,2547,,1375,971,2133,.455,275,795,.346,429,575,.746,398,1162,509,273,66,391,647
87,Florida,32,16,16,.500,11.85,8.56,,9,9,,10,5,,4,7,,2302,2197,,1285,811,1845,.440,216,677,.319,464,647,.717,265,1114,398,215,169,353,526
88,Florida A&M,29,7,22,.241,-17.41,-4.60,,5,13,,4,7,,3,15,,1700,2030,,1165,595,1536,.387,167,533,.313,343,496,.692,295,953,280,191,105,464,551
89,Florida Atlantic,32,29,3,.906,13.39,0.52,,18,2,,17,0,,11,3,,2533,2088,,1290,910,1927,.472,319,856,.373,394,553,.712,340,1235,478,218,79,376,510
90,Florida Gulf Coast,32,17,15,.531,-2.57,-3.02,,7,11,,8,5,,6,9,,2280,2222,,1290,805,1844,.437,295,832,.355,375,507,.740,301,1107,409,219,104,365,497
91,Florida International,32,14,18,.438,-3.05,-0.02,,8,12,,11,7,,3,10,,2339,2404,,1300,867,1861,.466,219,671,.326,386,541,.713,275,1008,397,290,128,473,547
92,Florida State,32,9,23,.281,-0.32,6.56,,7,13,,5,11,,4,7,,2219,2439,,1280,802,1840,.436,209,633,.330,406,559,.726,278,1006,430,197,125,388,519
93,Fordham,32,25,7,.781,2.41,-1.98,,12,6,,18,2,,6,5,,2308,2153,,1290,772,1845,.418,243,764,.318,521,703,.741,346,1195,405,233,160,438,628
94,Fresno State,31,11,20,.355,3.24,5.74,,6,12,,7,7,,4,9,,1974,2036,,1240,720,1673,.430,210,681,.308,324,420,.771,248,938,382,196,103,359,499
95,Furman,34,27,7,.794,5.11,-3.89,,15,3,,14,2,,8,3,,2791,2421,,1375,978,2023,.483,324,934,.347,511,690,.741,337,1207,581,231,109,379,570
96,Gardner-Webb,31,15,16,.484,-3.81,-4.61,,10,8,,8,5,,6,10,,2192,2032,,1260,813,1741,.467,196,583,.336,370,592,.625,310,1097,399,222,146,403,594
97,George Mason,33,20,13,.606,1.94,0.49,,11,7,,14,2,,4,7,,2268,2220,,1330,800,1774,.451,240,685,.350,428,657,.651,302,1180,452,152,103,453,568
98,George Washington,32,16,16,.500,-1.73,-0.40,,10,8,,11,6,,5,6,,2441,2455,,1305,869,1849,.470,228,710,.321,475,644,.738,284,1118,406,182,109,403,526
99,Georgetown,32,7,25,.219,-1.09,7.50,,2,18,,5,12,,1,11,,2225,2500,,1290,818,1934,.423,185,599,.309,404,563,.718,345,1151,380,197,146,392,462
100,Georgia,32,16,16,.500,2.20,5.20,,6,12,,13,4,,1,10,,2193,2289,,1285,728,1774,.410,215,678,.317,522,718,.727,347,1145,358,202,85,423,513
101,Georgia Southern,33,17,16,.515,-3.04,-1.81,,9,9,,12,4,,3,11,,2257,2201,,1325,840,1926,.436,207,659,.314,370,539,.686,325,1165,343,232,94,378,551
102,Georgia State,31,10,21,.323,-6.58,-0.72,,3,15,,10,9,,0,11,,2068,2150,,1245,745,1789,.416,164,556,.295,414,581,.713,343,1070,342,179,111,400,528
103,Georgia Tech,33,15,18,.455,2.15,4.96,,6,14,,11,6,,3,9,,2301,2335,,1325,855,2019,.423,259,773,.335,332,477,.696,349,1155,463,197,134,349,524
104,Gonzaga,33,28,5,.848,20.16,7.54,,14,2,,15,1,,7,2,,2888,2406,,1325,1076,2035,.529,256,661,.387,480,685,.701,336,1204,547,252,110,349,554
105,Grambling,32,24,8,.750,-3.63,-8.09,,15,3,,11,1,,9,6,,2218,1993,,1285,792,1728,.458,172,471,.365,462,719,.643,352,1161,400,238,131,462,600
106,Grand Canyon,35,24,11,.686,4.64,1.02,,10,7,,14,4,,5,5,,2636,2339,,1410,905,1953,.463,314,819,.383,512,715,.716,357,1292,441,172,115,423,632
107,Green Bay,32,3,29,.094,-20.09,-2.93,,2,18,,2,10,,1,17,,1898,2447,,1285,656,1665,.394,218,724,.301,368,524,.702,235,905,350,162,76,447,541
108,Hampton,32,8,24,.250,-15.10,-4.55,,5,13,,7,6,,1,13,,2183,2481,,1285,759,1934,.392,228,709,.322,437,636,.687,335,1098,352,138,101,354,587
109,Hartford,28,5,23,.179,-23.34,-8.18,,,,,5,10,,0,11,,1757,1991,,1120,659,1543,.427,206,620,.332,233,362,.644,255,886,364,179,105,403,395
110,Harvard,28,14,14,.500,-0.82,-2.13,,5,9,,5,7,,8,6,,1914,1858,,1130,700,1593,.439,184,596,.309,330,493,.669,299,1015,370,211,107,381,408
111,Hawaii,33,22,11,.667,2.83,-1.70,,13,7,,13,5,,6,4,,2208,2039,,1335,772,1799,.429,220,667,.330,444,594,.747,320,1165,367,151,125,401,528
112,High Point,31,14,17,.452,-9.84,-5.19,,6,12,,10,5,,2,11,,2312,2392,,1241,813,1834,.443,234,720,.325,452,722,.626,362,1179,383,203,152,438,573
113,Hofstra,33,24,9,.727,4.89,-3.20,,16,2,,11,1,,10,5,,2466,2159,,1330,940,1955,.481,286,779,.367,300,407,.737,248,1120,472,207,141,349,474
114,Holy Cross,32,10,22,.313,-14.28,-6.41,,7,11,,6,9,,4,11,,2136,2324,,1285,812,1862,.436,219,599,.366,293,471,.622,255,1040,398,203,89,387,514
