,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
210,Navy,Patriot,,,18,13,69.4,64.9,4.48,,-6.13,,-4.72,1.93,-2.79,82.19,84.81,-2.62
211,California,Pac-12,,,3,29,58.3,70.1,-11.78,,8.91,,-7.43,4.56,-2.87,78.94,83.51,-4.57
212,Detroit Mercy,Horizon,,,14,19,76.6,75.3,1.24,,-3.41,,3.10,-6.11,-3.01,89.32,92.51,-3.19
213,Georgia Southern,Sun Belt,,,17,16,68.4,66.7,1.70,,-1.81,,-4.82,1.78,-3.04,79.78,82.91,-3.13
214,Florida International,CUSA,,,14,18,73.1,75.1,-2.03,,-0.02,,1.41,-4.46,-3.05,80.92,83.26,-2.34
215,Siena,MAAC,,,17,15,68.6,67.2,1.38,,-4.74,,-2.83,-0.53,-3.36,81.56,84.98,-3.42
216,Rider,MAAC,,,16,14,70.2,67.6,2.60,,-4.81,,-2.07,-1.33,-3.39,85.60,89.11,-3.51
217,Norfolk State,MEAC,,,22,10,76.2,68.7,7.44,,-6.33,,-1.29,-2.15,-3.44,82.21,85.66,-3.45
218,Grambling,SWAC,,,24,8,69.3,62.3,7.03,,-8.09,,-6.64,3.00,-3.63,73.16,76.55,-3.39
219,Bryant,AEC,,,17,13,79.4,73.1,6.27,,-4.57,,3.71,-7.34,-3.64,83.16,86.89,-3.73
220,Northern Arizona,Big Sky,,,12,23,73.7,74.7,-0.97,,-0.01,,0.97,-4.64,-3.68,87.03,91.03,-4.00
221,Gardner-Webb,Big South,,,15,16,70.7,65.5,5.16,,-4.61,,-5.77,1.96,-3.81,77.42,81.50,-4.08
222,Rhode Island,A-10,,,9,22,66.0,70.6,-4.65,,0.67,,-4.33,0.35,-3.98,77.65,81.63,-3.98
223,Murray State,MVC,,,17,15,70.4,72.0,-1.59,,-1.16,,-0.62,-3.38,-4.00,84.95,90.05,-5.10
224,North Dakota State,Summit,,,16,17,72.8,73.2,-0.30,,-1.57,,-1.06,-2.96,-4.02,83.89,88.21,-4.32
225,Northern Colorado,Big Sky,,,12,20,73.6,77.5,-3.91,,-0.22,,3.15,-7.37,-4.22,86.22,91.14,-4.92
226,Queens (NC),A-Sun,,,18,15,77.7,74.6,3.06,,-4.36,,2.53,-6.80,-4.26,85.84,90.97,-5.13
227,Sacramento State,Big Sky,,,14,18,66.1,67.8,-1.72,,-1.25,,-5.91,1.63,-4.28,83.71,89.26,-5.56
228,Northwestern State,Southland,,,22,11,74.6,72.1,2.58,,-6.62,,-1.37,-2.94,-4.31,82.42,87.24,-4.82
229,Loyola (IL),A-10,,,10,21,67.4,72.5,-5.10,,0.65,,-2.99,-1.45,-4.45,81.48,86.35,-4.88
230,Milwaukee,Horizon,,,21,11,78.3,73.8,4.50,,-3.97,,2.61,-7.10,-4.49,81.92,87.04,-5.11
231,Howard,MEAC,,,20,12,75.8,72.7,3.13,,-5.76,,-1.04,-3.72,-4.76,73.24,79.64,-6.40
232,UT Arlington,WAC,,,11,21,66.4,68.4,-2.03,,2.35,,-5.78,1.02,-4.76,79.98,86.14,-6.17
233,Portland State,Big Sky,,,12,19,76.2,75.5,0.74,,-0.21,,3.07,-7.87,-4.80,83.03,88.44,-5.41
234,Wofford,Southern,,,17,16,74.7,72.5,2.24,,-3.13,,0.01,-4.84,-4.83,88.07,94.02,-5.95
235,Mercer,Southern,,,14,19,68.7,67.0,1.73,,-3.87,,-6.83,1.83,-5.00,79.37,85.39,-6.02
236,Purdue-Fort Wayne,Horizon,,,17,15,73.9,69.8,4.06,,-4.68,,-2.56,-2.62,-5.18,79.33,86.11,-6.78
237,Campbell,Big South,,,16,18,69.8,68.5,1.32,,-4.88,,-3.56,-1.66,-5.22,82.98,89.50,-6.52
238,Louisville,ACC,,,4,28,63.9,75.8,-11.84,,6.50,,-3.58,-1.77,-5.35,81.43,88.38,-6.96
239,Robert Morris,Horizon,,,16,17,69.3,66.8,2.48,,-5.32,,-6.47,0.89,-5.58,78.23,85.19,-6.96
240,Delaware,CAA,,,17,16,69.6,70.7,-1.06,,-3.75,,-2.77,-2.83,-5.60,81.65,87.91,-6.27
241,East Tennessee State,Southern,,,12,20,69.1,69.0,0.09,,-4.31,,-5.42,-0.45,-5.87,80.73,88.15,-7.42
242,Northern Illinois,MAC,,,13,19,72.0,75.0,-3.03,,-2.27,,-2.19,-3.98,-6.17,78.49,85.54,-7.05
243,Texas-Rio Grande Valley,WAC,,,15,17,78.7,78.2,0.50,,-0.25,,3.98,-10.16,-6.17,82.74,89.97,-7.23
244,Western Carolina,Southern,,,18,15,74.5,70.9,3.55,,-4.17,,-1.80,-4.40,-6.20,80.80,88.32,-7.52
245,Idaho State,Big Sky,,,11,21,69.2,71.0,-1.84,,-2.63,,-4.17,-2.06,-6.23,82.20,90.17,-7.97
246,Jacksonville,A-Sun,,,13,16,63.3,62.6,0.72,,-2.58,,-11.76,5.53,-6.24,78.19,86.32,-8.13
247,Maryland-Baltimore County,AEC,,,18,14,74.3,72.8,1.56,,-7.03,,-0.29,-6.00,-6.29,84.44,92.09,-7.65
248,SIU Edwardsville,OVC,,,19,14,74.6,71.3,3.33,,-7.35,,-2.90,-3.39,-6.29,79.45,86.82,-7.37
249,UC San Diego,Big West,,,10,20,68.6,73.0,-4.40,,-0.29,,-2.93,-3.54,-6.47,81.19,90.16,-8.97
250,Jacksonville State,A-Sun,,,13,18,69.9,70.3,-0.39,,-2.49,,-5.30,-1.26,-6.56,79.75,88.38,-8.63
251,Georgia State,Sun Belt,,,10,21,66.7,69.4,-2.65,,-0.72,,-5.59,-0.99,-6.58,77.84,86.17,-8.33
252,Winthrop,Big South,,,15,17,73.8,74.4,-0.69,,-3.55,,0.54,-7.12,-6.58,86.38,94.76,-8.38
253,North Florida,A-Sun,,,14,17,76.2,77.6,-1.35,,-2.39,,2.54,-9.14,-6.60,85.70,93.85,-8.16
254,Niagara,MAAC,,,16,15,65.0,65.9,-0.90,,-4.46,,-8.29,1.63,-6.66,80.99,89.77,-8.77
255,Fairfield,MAAC,,,13,18,64.9,66.0,-1.06,,-4.43,,-7.13,0.24,-6.89,78.62,87.64,-9.02
256,Illinois State,MVC,,,11,21,66.5,70.5,-4.00,,-2.92,,-5.43,-1.49,-6.92,79.98,88.59,-8.61
257,Canisius,MAAC,,,10,20,70.4,72.3,-1.93,,-3.34,,-2.20,-4.72,-6.93,80.79,89.11,-8.32
258,Cal Poly,Big West,,,8,25,60.8,65.9,-5.09,,-0.05,,-10.97,3.95,-7.01,74.82,84.91,-10.09
259,Miami (OH),MAC,,,12,20,73.7,74.5,-0.88,,-2.00,,-2.03,-5.01,-7.04,83.27,91.53,-8.26
260,North Dakota,Summit,,,13,20,72.1,73.9,-1.76,,-2.60,,-1.99,-5.12,-7.11,83.15,92.46,-9.31
261,Western Illinois,Summit,,,16,14,73.0,72.4,0.67,,-4.28,,-3.26,-3.86,-7.13,82.18,91.73,-9.55
262,Southeast Missouri State,OVC,,,19,16,77.7,76.0,1.69,,-6.70,,2.28,-9.47,-7.19,80.33,88.96,-8.63
263,Army,Patriot,,,17,16,73.1,70.4,2.73,,-7.68,,-1.32,-5.91,-7.23,82.34,91.15,-8.81
264,Bellarmine,A-Sun,,,15,18,66.3,67.2,-0.88,,-1.31,,-8.22,0.85,-7.37,81.01,91.28,-10.27
265,Maryland-Eastern Shore,MEAC,,,18,12,70.2,66.0,4.23,,-5.37,,-6.90,-0.61,-7.51,70.22,78.77,-8.55
266,Morehead State,OVC,,,21,11,70.2,66.4,3.81,,-5.93,,-9.31,1.71,-7.61,78.89,87.90,-9.01
267,South Carolina Upstate,Big South,,,16,15,68.9,69.6,-0.71,,-4.05,,-5.23,-2.41,-7.64,77.57,87.83,-10.27
268,Southeastern Louisiana,Southland,,,18,14,77.6,76.0,1.59,,-6.36,,0.41,-8.05,-7.64,80.97,90.03,-9.06
269,Oakland,Horizon,,,13,19,73.3,76.3,-2.97,,-2.60,,0.19,-7.95,-7.76,83.33,92.96,-9.62
270,Arkansas State,Sun Belt,,,13,20,65.7,67.6,-1.91,,-3.01,,-8.47,0.69,-7.78,80.11,90.52,-10.41
271,Cal State Bakersfield,Big West,,,11,22,60.5,64.7,-4.21,,-1.00,,-11.07,3.21,-7.87,74.77,85.73,-10.96
272,Lafayette,Patriot,,,11,23,62.4,65.6,-3.29,,-4.66,,-11.06,3.11,-7.95,74.14,84.73,-10.59
273,Mount St. Mary's,MAAC,,,13,20,63.7,67.0,-3.36,,-3.86,,-7.85,-0.17,-8.02,75.85,86.36,-10.51
274,UTSA,CUSA,,,10,22,69.3,76.6,-7.28,,0.88,,-0.83,-7.19,-8.02,79.99,89.45,-9.46
275,Tulsa,AAC,,,5,25,65.3,77.4,-12.13,,4.10,,-3.10,-4.94,-8.04,77.83,88.30,-10.47
276,Nicholls State,Southland,,,16,15,75.6,72.7,2.94,,-5.19,,-2.83,-5.22,-8.05,72.23,81.87,-9.65
277,Bowling Green State,MAC,,,11,20,76.0,78.5,-2.55,,-3.44,,0.07,-8.16,-8.09,81.08,90.86,-9.78
278,Dartmouth,Ivy,,,10,18,71.4,72.4,-1.04,,-2.68,,-3.36,-4.78,-8.14,76.10,86.00,-9.90
279,Boston University,Patriot,,,15,17,67.1,67.2,-0.13,,-6.58,,-7.05,-1.11,-8.16,76.94,87.49,-10.56
280,Southern,SWAC,,,15,17,71.9,71.3,0.63,,-6.11,,-3.64,-4.53,-8.18,74.62,84.75,-10.13
281,American,Patriot,,,17,15,65.4,65.9,-0.53,,-7.71,,-8.25,0.01,-8.24,79.68,90.44,-10.76
282,Southern Indiana,OVC,,,16,16,76.5,74.1,2.44,,-7.33,,0.30,-8.56,-8.26,81.83,92.20,-10.37
283,Valparaiso,MVC,,,11,21,68.9,73.6,-4.66,,-2.30,,-3.84,-4.42,-8.26,77.73,88.16,-10.42
284,North Alabama,A-Sun,,,18,14,74.9,74.4,0.50,,-4.16,,-0.22,-8.05,-8.27,81.91,92.10,-10.18
285,Louisiana-Monroe,Sun Belt,,,11,21,67.4,69.8,-2.44,,-0.25,,-6.57,-1.75,-8.32,76.49,87.25,-10.76
286,Idaho,Big Sky,,,10,22,73.0,72.9,0.09,,-3.53,,-3.32,-5.04,-8.36,83.26,95.00,-11.74
287,Alcorn State,SWAC,,,18,13,68.1,70.6,-2.52,,-5.88,,-3.74,-4.65,-8.40,78.50,88.97,-10.48
288,Marist,MAAC,,,13,20,63.9,66.7,-2.76,,-5.67,,-8.22,-0.21,-8.43,77.05,88.05,-11.01
289,Illinois-Chicago,MVC,,,12,20,67.2,71.6,-4.47,,-2.73,,-3.91,-4.53,-8.44,76.44,87.31,-10.87
290,Tennessee-Martin,OVC,,,19,14,80.5,75.4,5.12,,-7.73,,0.72,-9.21,-8.49,79.64,90.38,-10.74
291,Coastal Carolina,Sun Belt,,,11,20,73.3,74.0,-0.68,,-1.53,,-0.92,-7.79,-8.71,83.08,94.32,-11.25
292,Prairie View,SWAC,,,13,20,67.5,68.4,-0.91,,-6.45,,-7.76,-1.01,-8.77,69.27,80.10,-10.83
293,Tennessee State,OVC,,,18,14,78.1,75.0,3.06,,-8.76,,-1.07,-7.77,-8.83,79.91,91.39,-11.48
294,Maine,AEC,,,13,17,68.5,69.7,-1.23,,-4.68,,-6.08,-2.81,-8.90,77.51,89.07,-11.56
295,Denver,Summit,,,15,17,72.7,75.1,-2.41,,-5.42,,-1.91,-7.17,-9.08,79.76,91.89,-12.13
296,Lehigh,Patriot,,,16,14,69.8,69.4,0.40,,-6.06,,-4.67,-4.43,-9.09,75.18,87.10,-11.92
297,New Hampshire,AEC,,,15,15,66.4,67.0,-0.63,,-5.73,,-9.92,0.83,-9.09,75.36,86.92,-11.56
298,Tennessee Tech,OVC,,,16,17,73.7,73.4,0.33,,-6.18,,-3.25,-5.96,-9.22,80.60,92.25,-11.65
299,Kansas City,Summit,,,11,21,64.4,68.7,-4.34,,-2.78,,-10.22,0.94,-9.28,74.77,87.21,-12.45
300,Charleston Southern,Big South,,,10,21,72.6,74.4,-1.74,,-4.43,,-2.42,-6.98,-9.40,83.46,96.25,-12.79
301,South Dakota,Summit,,,12,19,69.3,73.6,-4.29,,-2.86,,-4.40,-5.01,-9.41,81.40,94.02,-12.62
302,Texas Southern,SWAC,,,12,20,69.6,72.3,-2.78,,-4.48,,-4.23,-5.22,-9.45,67.07,79.65,-12.58
303,Bucknell,Patriot,,,12,20,67.5,68.5,-0.97,,-7.14,,-5.62,-3.95,-9.58,74.05,87.21,-13.16
304,High Point,Big South,,,14,17,74.6,77.2,-2.58,,-5.19,,-0.66,-9.18,-9.84,78.38,90.99,-12.61
305,Manhattan,MAAC,,,12,18,67.2,70.4,-3.20,,-4.97,,-5.53,-4.37,-9.90,76.96,89.81,-12.85
306,Saint Peter's,MAAC,,,14,18,62.1,65.1,-3.03,,-5.25,,-11.05,1.16,-9.90,75.41,89.25,-13.85
307,Cal State Northridge,Big West,,,7,25,63.4,68.6,-5.19,,-1.24,,-9.19,-0.72,-9.91,75.95,89.87,-13.92
308,Western Michigan,MAC,,,8,23,69.9,74.0,-4.16,,-1.95,,-4.02,-6.14,-10.16,81.22,94.99,-13.77
309,Northeastern,CAA,,,10,20,65.3,71.7,-6.37,,-4.00,,-6.64,-3.72,-10.36,75.78,89.54,-13.76
310,Omaha,Summit,,,9,23,68.5,76.2,-7.69,,-1.39,,-3.77,-6.59,-10.36,79.37,93.23,-13.86
311,Alabama A&M,SWAC,,,15,17,69.9,70.8,-0.94,,-7.31,,-5.99,-4.39,-10.38,71.08,83.55,-12.47
312,Binghamton,AEC,,,13,18,68.8,71.5,-2.71,,-5.53,,-6.12,-4.34,-10.46,76.49,90.39,-13.90
313,Texas A&M-Commerce,Southland,,,13,20,71.6,73.4,-1.79,,-7.26,,-5.07,-5.53,-10.60,69.46,83.10,-13.64
314,Eastern Michigan,MAC,,,8,23,72.2,80.8,-8.58,,-1.53,,-0.74,-9.95,-10.69,80.01,93.32,-13.31
315,Jackson State,SWAC,,,14,19,67.6,73.6,-5.97,,-4.94,,-4.99,-5.91,-10.91,75.54,89.46,-13.92
316,Chicago State,Ind,,,11,20,70.3,73.0,-2.71,,-3.15,,-6.28,-4.65,-10.93,80.22,94.70,-14.48
317,William & Mary,CAA,,,13,20,67.2,70.3,-3.06,,-4.17,,-6.97,-4.01,-10.97,78.77,93.60,-14.83
318,North Carolina A&T,CAA,,,13,19,70.8,73.8,-3.06,,-3.76,,-3.01,-8.19,-11.21,76.54,91.20,-14.66
319,Fairleigh Dickinson,NEC,,,19,15,77.8,74.9,2.91,,-11.72,,1.18,-12.59,-11.40,83.78,98.45,-14.67
320,Morgan State,MEAC,,,15,16,74.9,72.3,2.61,,-5.98,,-5.08,-6.38,-11.46,70.82,84.97,-14.15
321,Merrimack,NEC,,,18,16,62.6,62.3,0.26,,-9.50,,-13.73,2.17,-11.56,67.66,82.64,-14.98
322,Central Michigan,MAC,,,10,21,65.7,73.0,-7.26,,-2.25,,-8.88,-2.71,-11.59,71.09,86.51,-15.42
323,The Citadel,Southern,,,10,22,67.4,74.2,-6.75,,-3.61,,-6.73,-5.23,-11.97,76.83,92.85,-16.02
324,Loyola (MD),Patriot,,,13,20,67.3,70.6,-3.30,,-6.09,,-7.51,-4.48,-11.99,76.76,93.61,-16.85
325,Wagner,NEC,,,15,13,63.1,61.7,1.39,,-11.27,,-14.50,2.27,-12.24,71.22,86.65,-15.43
326,Little Rock,OVC,,,10,21,75.4,79.4,-4.00,,-6.75,,0.09,-12.49,-12.40,80.62,96.63,-16.01
327,Stony Brook,CAA,,,11,22,63.1,69.1,-5.94,,-4.08,,-11.21,-1.20,-12.41,73.63,90.68,-17.04
328,Austin Peay,A-Sun,,,9,22,66.7,72.3,-5.61,,-2.72,,-9.47,-2.98,-12.45,72.04,88.13,-16.10
329,Arkansas-Pine Bluff,SWAC,,,10,21,66.9,69.7,-2.84,,-4.86,,-6.60,-5.89,-12.49,70.68,87.36,-16.69
330,NJIT,AEC,,,7,23,66.9,72.7,-5.80,,-5.67,,-6.82,-5.82,-12.64,75.30,92.61,-17.31
331,Elon,CAA,,,8,24,65.4,71.6,-6.16,,-4.31,,-8.26,-4.52,-12.78,75.88,93.08,-17.20
332,McNeese State,Southland,,,11,23,69.2,75.4,-6.26,,-5.02,,-6.69,-6.48,-13.17,76.33,93.89,-17.56
333,Sacred Heart,NEC,,,16,17,70.7,71.2,-0.58,,-11.31,,-4.77,-8.42,-13.18,74.12,91.00,-16.88
334,Stonehill,NEC,,,14,17,67.0,69.6,-2.61,,-8.98,,-8.56,-4.69,-13.25,73.05,90.36,-17.31
335,Presbyterian,Big South,,,5,27,63.2,69.5,-6.31,,-5.04,,-11.38,-2.20,-13.58,72.53,91.87,-19.35
336,Central Arkansas,A-Sun,,,9,22,72.9,81.5,-8.58,,-3.06,,-0.70,-12.93,-13.63,75.95,93.36,-17.41
337,Eastern Illinois,OVC,,,9,22,68.8,72.1,-3.26,,-6.49,,-8.88,-4.95,-13.83,72.43,90.93,-18.50
338,New Orleans,Southland,,,12,20,73.1,79.3,-6.13,,-6.96,,-2.41,-11.42,-13.83,75.31,93.16,-17.85
339,Saint Francis (PA),NEC,,,13,18,73.0,73.7,-0.74,,-9.76,,-3.57,-10.33,-13.90,78.82,97.63,-18.81
340,Central Connecticut State,NEC,,,10,22,66.0,70.2,-4.19,,-9.86,,-9.23,-4.82,-14.05,74.89,93.65,-18.77
341,Holy Cross,Patriot,,,10,22,66.8,72.6,-5.88,,-6.41,,-7.42,-6.86,-14.28,72.21,91.43,-19.21
342,Albany (NY),AEC,,,8,23,67.3,75.2,-7.94,,-4.55,,-6.28,-8.10,-14.37,75.96,95.60,-19.64
343,Lindenwood,OVC,,,11,21,69.6,73.8,-4.25,,-6.08,,-7.64,-6.89,-14.53,73.68,92.89,-19.20
344,Coppin State,MEAC,,,9,23,72.0,83.2,-11.16,,-3.44,,-0.45,-14.14,-14.60,76.36,94.88,-18.51
345,Columbia,Ivy,,,7,22,67.8,75.8,-7.97,,-2.65,,-6.68,-7.97,-14.65,71.07,89.70,-18.63
346,Evansville,MVC,,,5,27,62.4,76.0,-13.59,,-1.11,,-8.48,-6.22,-14.70,70.52,89.85,-19.34
347,Incarnate Word,Southland,,,12,19,70.8,73.9,-3.10,,-8.00,,-7.79,-7.04,-14.83,69.22,88.52,-19.30
348,Hampton,CAA,,,8,24,68.2,77.5,-9.31,,-4.55,,-5.33,-9.77,-15.10,75.18,95.11,-19.92
349,Monmouth,CAA,,,7,26,61.7,74.7,-13.03,,-2.60,,-9.55,-6.08,-15.63,70.19,91.97,-21.78
350,Alabama State,SWAC,,,8,23,63.3,72.6,-9.32,,-5.94,,-10.99,-4.98,-15.97,69.41,90.41,-21.01
351,VMI,Southern,,,7,25,69.4,76.8,-7.41,,-3.44,,-6.53,-9.59,-16.12,76.84,99.28,-22.45
352,Bethune-Cookman,SWAC,,,13,20,67.6,74.5,-6.88,,-7.48,,-7.04,-9.41,-16.45,69.00,90.54,-21.54
353,South Carolina State,MEAC,,,5,26,73.4,83.8,-10.48,,-3.96,,-1.57,-14.98,-16.56,75.02,95.63,-20.61
354,Houston Christian,Southland,,,10,22,77.6,83.1,-5.50,,-6.59,,-1.35,-15.48,-16.83,77.66,99.40,-21.74
355,Lamar,Southland,,,9,22,67.9,74.5,-6.68,,-7.23,,-9.80,-7.18,-16.98,71.77,94.50,-22.73
356,St. Francis (NY),NEC,,,14,16,64.9,67.8,-2.93,,-11.70,,-13.04,-3.98,-17.02,67.86,91.05,-23.19
357,Florida A&M,SWAC,,,7,22,58.6,70.0,-11.38,,-4.60,,-14.20,-3.21,-17.41,66.87,91.14,-24.27
358,Delaware State,MEAC,,,6,24,64.6,75.5,-10.87,,-4.96,,-10.10,-7.61,-17.71,69.40,92.82,-23.42
359,Mississippi Valley State,SWAC,,,5,27,61.0,74.8,-13.72,,-4.08,,-11.19,-6.60,-17.80,67.75,91.92,-24.16
360,IUPUI,Horizon,,,5,27,65.3,76.8,-11.47,,-5.26,,-8.77,-9.93,-18.70,73.27,99.12,-25.85
361,Green Bay,Horizon,,,3,29,59.3,76.5,-17.16,,-2.93,,-13.79,-6.30,-20.09,68.40,97.10,-28.70
362,Hartford,Ind,,,5,23,62.8,71.1,-8.36,,-8.18,,-14.81,-8.53,-23.34,65.88,98.72,-32.84
363,Long Island University,NEC,,,3,26,66.7,80.0,-13.24,,-6.36,,-9.62,-15.43,-25.04,62.37,92.83,-30.46
