,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
51,Mississippi State,SEC,,,21,12,65.9,61.0,4.91,,7.14,,-1.58,13.63,12.05,87.06,68.11,18.94
52,Cincinnati,AAC,,,20,11,77.9,69.7,8.23,,5.09,,7.71,4.29,11.99,86.35,68.35,18.01
53,Oklahoma,Big 12,,,15,17,67.7,67.5,0.13,,11.84,,3.37,8.60,11.97,92.17,73.28,18.89
54,New Mexico,MWC,,,22,11,81.2,74.0,7.21,,5.72,,13.23,-1.30,11.93,95.78,78.03,17.75
55,Utah,Pac-12,,,17,15,68.7,63.8,4.81,,5.99,,2.71,9.18,11.89,85.75,69.68,16.07
56,Florida,SEC,,,16,16,71.9,68.7,3.28,,8.56,,5.84,6.01,11.85,89.09,70.73,18.36
57,Washington State,Pac-12,,,17,16,68.2,65.3,2.91,,8.50,,2.40,9.01,11.41,94.49,76.95,17.54
58,Nevada,MWC,,,22,10,72.6,66.9,5.75,,6.84,,4.63,6.73,11.36,92.35,74.20,18.15
59,Central Florida,AAC,,,18,13,72.1,65.5,6.61,,4.99,,3.06,8.19,11.24,86.90,67.91,18.98
60,Clemson,ACC,,,23,10,75.0,67.9,7.15,,4.08,,6.33,4.90,11.23,92.70,75.27,17.43
61,Arizona State,Pac-12,,,22,12,70.3,67.7,2.62,,8.41,,4.14,6.89,11.03,87.96,71.34,16.62
62,Seton Hall,Big East,,,17,15,68.5,65.1,3.38,,8.39,,0.84,10.16,11.00,86.99,69.88,17.11
63,Villanova,Big East,,,17,15,70.3,67.8,2.56,,8.67,,2.65,8.14,10.79,90.93,72.98,17.95
64,Wisconsin,Big Ten,,,17,14,64.9,63.8,1.13,,9.56,,-0.84,11.53,10.68,87.35,70.40,16.95
65,Stanford,Pac-12,,,14,19,70.3,68.4,1.97,,8.08,,5.10,4.95,10.05,95.86,80.83,15.03
66,Pittsburgh,ACC,,,22,11,76.1,70.5,5.64,,4.30,,6.76,3.18,9.94,95.19,79.58,15.60
67,Brigham Young,WCC,,,19,15,75.5,69.9,5.65,,5.88,,5.53,4.37,9.91,89.85,74.45,15.40
68,Virginia Commonwealth,A-10,,,25,7,71.0,62.7,8.31,,1.41,,1.92,7.92,9.84,82.97,68.17,14.80
69,UAB,CUSA,,,24,9,82.5,71.3,11.12,,1.11,,11.07,-1.28,9.79,85.24,69.49,15.75
70,Oral Roberts,Summit,,,30,4,84.2,70.1,14.12,,-2.92,,10.19,-0.58,9.61,95.42,81.19,14.23
71,Virginia Tech,ACC,,,19,14,74.2,69.8,4.45,,5.13,,6.35,3.23,9.58,95.26,79.76,15.50
72,North Texas,CUSA,,,26,6,64.1,55.1,8.97,,1.62,,-6.11,15.60,9.49,86.53,69.17,17.35
73,Vanderbilt,SEC,,,20,13,72.4,71.6,0.79,,8.88,,6.89,2.41,9.29,91.89,76.93,14.97
74,Dayton,A-10,,,21,11,68.8,60.6,8.16,,1.06,,-1.32,10.59,9.28,86.07,70.85,15.21
75,Santa Clara,WCC,,,23,9,77.6,73.6,3.97,,5.52,,8.44,0.76,9.20,92.57,78.86,13.70
76,St. John's (NY),Big East,,,18,15,77.3,75.2,2.15,,6.43,,10.30,-1.72,8.58,88.43,74.98,13.45
77,College of Charleston,CAA,,,31,3,80.8,67.4,13.44,,-4.51,,8.27,0.19,8.46,90.18,77.67,12.51
78,Yale,Ivy,,,20,7,76.5,62.7,13.85,,-2.43,,2.46,5.96,8.42,85.18,72.32,12.87
79,Drake,MVC,,,27,7,75.3,63.9,11.41,,-1.12,,3.27,5.07,8.34,90.73,76.84,13.89
80,Wake Forest,ACC,,,19,14,76.6,73.8,2.82,,5.43,,8.57,-0.32,8.24,93.34,80.50,12.84
