172. Saint Joseph's (A-10, 16-17)
173. Minnesota (Big Ten, 9-22)
174. Montana (Big Sky, 17-14)
175. Utah Tech (WAC, 14-19)
176. Eastern Kentucky (A-Sun, 20-13)
177. Rice (CUSA, 18-15)
178. Pepperdine (WCC, 9-22)
179. UTEP (CUSA, 14-18)
180. Massachusetts (A-10, 15-16)
181. Texas A&M-Corpus Christi (Southland, 23-10)
182. Lipscomb (A-Sun, 20-13)
183. Grambling (SWAC, 24-8)
184. George Washington (A-10, 16-16)
185. Cleveland State (Horizon, 21-13)
186. Harvard (Ivy, 14-14)
187. Appalachian State (Sun Belt, 16-16)
188. Buffalo (MAC, 15-17)
189. Florida State (ACC, 9-23)
190. Longwood (Big South, 20-12)
191. Norfolk State (MEAC, 22-10)
192. Stetson (A-Sun, 17-13)
193. Quinnipiac (MAAC, 20-12)
194. Weber State (Big Sky, 18-15)
195. South Carolina (SEC, 11-21)
196. St. Bonaventure (A-10, 14-18)
197. Milwaukee (Horizon, 21-11)
198. New Mexico State (WAC, 9-15)
199. San Diego (WCC, 11-20)
200. St. Thomas (Summit, 19-14)
201. Radford (Big South, 19-14)
202. Brown (Ivy, 14-13)
203. North Carolina Central (MEAC, 18-12)
204. Abilene Christian (WAC, 13-17)
205. Chattanooga (Southern, 18-17)
206. Florida Gulf Coast (A-Sun, 17-15)
207. Northwestern State (Southland, 22-11)
208. Texas State (Sun Belt, 16-19)
209. Georgetown (Big East, 7-25)
210. Georgia Southern (Sun Belt, 17-16)
211. Northern Iowa (MVC, 14-18)
212. La Salle (A-10, 15-19)
213. Florida International (CUSA, 14-18)
214. Navy (Patriot, 18-13)
215. Murray State (MVC, 17-15)
216. Drexel (CAA, 17-15)
217. Wright State (Horizon, 18-15)
218. Bryant (AEC, 17-13)
219. North Dakota State (Summit, 16-17)
220. Siena (MAAC, 17-15)
221. Rider (MAAC, 16-14)
222. Howard (MEAC, 20-12)
223. Queens (NC) (A-Sun, 18-15)
224. Wofford (Southern, 17-16)
225. Gardner-Webb (Big South, 15-16)
226. Morehead State (OVC, 21-11)
227. Delaware (CAA, 17-16)
228. Texas-Rio Grande Valley (WAC, 15-17)
229. Sacramento State (Big Sky, 14-18)
230. Detroit Mercy (Horizon, 14-19)
231. Purdue-Fort Wayne (Horizon, 17-15)
232. Western Carolina (Southern, 18-15)
233. Northern Colorado (Big Sky, 12-20)
234. Portland State (Big Sky, 12-19)
235. Northern Arizona (Big Sky, 12-23)
236. Maryland-Eastern Shore (MEAC, 18-12)
237. UT Arlington (WAC, 11-21)
238. SIU Edwardsville (OVC, 19-14)
239. Loyola (IL) (A-10, 10-21)
240. Rhode Island (A-10, 9-22)
241. Campbell (Big South, 16-18)
242. Maryland-Baltimore County (AEC, 18-14)
243. Robert Morris (Horizon, 16-17)
244. North Alabama (A-Sun, 18-14)
245. Mercer (Southern, 14-19)
246. Niagara (MAAC, 16-15)
247. California (Pac-12, 3-29)
248. Jacksonville (A-Sun, 13-16)
249. Northern Illinois (MAC, 13-19)
250. Western Illinois (Summit, 16-14)
251. North Florida (A-Sun, 14-17)
252. Southeastern Louisiana (Southland, 18-14)
253. Alcorn State (SWAC, 18-13)
254. Winthrop (Big South, 15-17)
255. Southeast Missouri State (OVC, 19-16)
256. Bellarmine (A-Sun, 15-18)
257. South Carolina Upstate (Big South, 16-15)
258. Nicholls State (Southland, 16-15)
259. Jacksonville State (A-Sun, 13-18)
260. Tennessee-Martin (OVC, 19-14)
261. Army (Patriot, 17-16)
262. Miami (OH) (MAC, 12-20)
263. Louisville (ACC, 4-28)
264. East Tennessee State (Southern, 12-20)
265. Oakland (Horizon, 13-19)
266. UC San Diego (Big West, 10-20)
267. North Dakota (Summit, 13-20)
268. Georgia State (Sun Belt, 10-21)
269. Fairfield (MAAC, 13-18)
270. Idaho State (Big Sky, 11-21)
271. UTSA (CUSA, 10-22)
272. Lehigh (Patriot, 16-14)
273. American (Patriot, 17-15)
274. New Hampshire (AEC, 15-15)
275. Southern (SWAC, 15-17)
276. Southern Indiana (OVC, 16-16)
277. Tennessee State (OVC, 18-14)
278. Louisiana-Monroe (Sun Belt, 11-21)
279. Illinois State (MVC, 11-21)
280. Arkansas State (Sun Belt, 13-20)
281. Boston University (Patriot, 15-17)
282. Canisius (MAAC, 10-20)
283. Tennessee Tech (OVC, 16-17)
284. Dartmouth (Ivy, 10-18)
285. Mount St. Mary's (MAAC, 13-20)
286. Cal State Bakersfield (Big West, 11-22)
287. Illinois-Chicago (MVC, 12-20)
288. Coastal Carolina (Sun Belt, 11-20)
289. Denver (Summit, 15-17)
290. Maine (AEC, 13-17)
291. Valparaiso (MVC, 11-21)
292. Bowling Green State (MAC, 11-20)
293. High Point (Big South, 14-17)
294. South Dakota (Summit, 12-19)
295. Tulsa (AAC, 5-25)
296. Marist (MAAC, 13-20)
297. Cal Poly (Big West, 8-25)
298. Alabama A&M (SWAC, 15-17)
299. Prairie View (SWAC, 13-20)
300. Morgan State (MEAC, 15-16)
301. Saint Peter's (MAAC, 14-18)
302. Kansas City (Summit, 11-21)
303. Manhattan (MAAC, 12-18)
304. Lafayette (Patriot, 11-23)
305. Texas Southern (SWAC, 12-20)
306. Jackson State (SWAC, 14-19)
307. Idaho (Big Sky, 10-22)
308. North Carolina A&T (CAA, 13-19)
309. Binghamton (AEC, 13-18)
310. Merrimack (NEC, 18-16)
311. William & Mary (CAA, 13-20)
312. Fairleigh Dickinson (NEC, 19-15)
313. Charleston Southern (Big South, 10-21)
314. Northeastern (CAA, 10-20)
315. Omaha (Summit, 9-23)
316. Wagner (NEC, 15-13)
317. Texas A&M-Commerce (Southland, 13-20)
318. Bucknell (Patriot, 12-20)
319. Eastern Michigan (MAC, 8-23)
320. Central Michigan (MAC, 10-21)
321. Western Michigan (MAC, 8-23)
322. Cal State Northridge (Big West, 7-25)
323. Loyola (MD) (Patriot, 13-20)
324. The Citadel (Southern, 10-22)
325. Austin Peay (A-Sun, 9-22)
