,,,FIRST FOUR,,,
FF1,,FF2,,FF3,,FF4
FFA,,FFC,,FFE,,FFG
FFB,,FFD,,FFF,,FFH
,,,,,,
,,,BRACKET,,,
EAST,,MIDWEST,,SOUTH,,WEST
E1,,M1,,S1,,W1
E16,,M16,,S16,,W16
,,,,,,
E8,,M8,,S8,,W8
E9,,M9,,S9,,W9
,,,,,,
E5,,M5,,S5,,W5
E12,,M12,,S12,,W12
,,,,,,
E4,,M4,,S4,,W4
E13,,M13,,S13,,W13
,,,,,,
E6,,M6,,S6,,W6
E11,,M11,,S11,,W11
,,,,,,
E3,,M3,,S3,,W3
E14,,M14,,S14,,W14
,,,,,,
E7,,M7,,S7,,W7
E10,,M10,,S10,,W10
,,,,,,
E2,,M2,,S2,,W2
E15,,M15,,S15,,W15
,,,,,,
LAST FOUR BYES,,LAST FOUR IN,,FIRST FOUR OUT,,NEXT FOUR OUT
LB,,LI,,FO,,NO
LB,,LI,,FO,,NO
LB,,LI,,FO,,NO
LB,,LI,,FO,,NO
